Subject,Start Date,Start Time,Location,Description,,,,Score
@ Dallas,03/06/2012,8:30 PM,American Airlines Center,Regular Season - New York Knicks @ Dallas Mavericks on MSG,03/06/2012,8:30 PM,False,
@ San Antonio,03/07/2012,8:30 PM,AT&T Center,Regular Season - New York Knicks @ San Antonio Spurs on MSG,03/07/2012,8:30 PM,False,
@ Milwaukee,03/09/2012,8:30 PM,Bradley Center,Regular Season - New York Knicks @ Milwaukee Bucks on MSG,03/09/2012,8:30 PM,False,
vs. Philadelphia,03/11/2012,12:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Philadelphia 76ers on MSG,03/11/2012,12:00 PM,False,
@ Chicago,03/12/2012,8:00 PM,United Center,Regular Season - New York Knicks @ Chicago Bulls on MSG~ ESPN,03/12/2012,8:00 PM,False,
vs. Portland,03/14/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Portland Trail Blazers on MSG,03/14/2012,7:30 PM,False,
vs. Indiana,03/16/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Indiana Pacers on MSG,03/16/2012,7:30 PM,False,
@ Indiana,03/17/2012,7:00 PM,Bankers Life Fieldhouse,Regular Season - New York Knicks @ Indiana Pacers on MSG,03/17/2012,7:00 PM,False,
vs. Toronto,03/20/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Toronto Raptors on MSG,03/20/2012,7:30 PM,False,
@ Philadelphia,03/21/2012,7:00 PM,Wells Fargo Center,Regular Season - New York Knicks @ Philadelphia 76ers on MSG~ ESPN,03/21/2012,7:00 PM,False,
@ Toronto,03/23/2012,7:00 PM,Air Canada Centre,Regular Season - New York Knicks @ Toronto Raptors on MSG,03/23/2012,7:00 PM,False,
vs. Detroit,03/24/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Detroit Pistons on MSG,03/24/2012,7:30 PM,False,
vs. Milwaukee,03/26/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Milwaukee Bucks on MSG,03/26/2012,7:30 PM,False,
vs. Orlando,03/28/2012,7:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Orlando Magic on MSG~ ESPN,03/28/2012,7:00 PM,False,
@ Atlanta,03/30/2012,7:30 PM,Philips Arena,Regular Season - New York Knicks @ Atlanta Hawks on MSG,03/30/2012,7:30 PM,False,
@ Indiana,04/03/2012,7:00 PM,Bankers Life Fieldhouse,Regular Season - New York Knicks @ Indiana Pacers on MSG,04/03/2012,7:00 PM,False,
@ Orlando,04/05/2012,7:00 PM,Amway Center,Regular Season - New York Knicks @ Orlando Magic on MSG~ TNT,04/05/2012,7:00 PM,False,
vs. Chicago,04/08/2012,1:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Chicago Bulls on ,04/08/2012,1:00 PM,False,
@ Chicago,04/10/2012,9:30 PM,United Center,Regular Season - New York Knicks @ Chicago Bulls on MSG~ ESPN,04/10/2012,9:30 PM,False,
@ Milwaukee,04/11/2012,8:00 PM,Bradley Center,Regular Season - New York Knicks @ Milwaukee Bucks on MSG,04/11/2012,8:00 PM,False,
vs. Washington,04/13/2012,7:30 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Washington Wizards on MSG,04/13/2012,7:30 PM,False,
vs. Miami,04/15/2012,1:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Miami Heat on ,04/15/2012,1:00 PM,False,
vs. Boston,04/17/2012,8:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Boston Celtics on ,04/17/2012,8:00 PM,False,
@ New Jersey,04/18/2012,7:30 PM,Prudential Center,Regular Season - New York Knicks @ New Jersey Nets on MSG,04/18/2012,7:30 PM,False,
@ Cleveland,04/20/2012,7:30 PM,Quicken Loans Arena,Regular Season - New York Knicks @ Cleveland Cavaliers on MSG,04/20/2012,7:30 PM,False,
@ Atlanta,04/22/2012,1:00 PM,Philips Arena,Regular Season - New York Knicks @ Atlanta Hawks on MSG~ ESPN,04/22/2012,1:00 PM,False,
vs. L.A.Clippers,04/25/2012,8:00 PM,Madison Square Garden,Regular Season - New York Knicks Vs. Los Angeles Clippers on MSG~ ESPN,04/25/2012,8:00 PM,False,
@ Charlotte,04/26/2012,8:00 PM,Time Warner Cable Arena,Regular Season - New York Knicks @ Charlotte Bobcats on MSG~ TNT,04/26/2012,8:00 PM,False,
